City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ahipara,NZ,2022-01-24 00:24:48,-35.1667,173.1667,71.49,70,100,12.41
68,Port Alfred,ZA,2022-01-24 00:24:48,-33.5906,26.891,71.53,77,0,16.26
69,Severo-Kurilsk,RU,2022-01-24 00:24:15,50.6789,156.125,26.83,74,99,11.16
70,Lata,PT,2022-01-24 00:24:23,40.1629,-8.3327,42.06,82,0,3.69
71,Qaanaaq,GL,2022-01-24 00:23:04,77.484,-69.3632,-4.31,77,100,3.6
72,Yar-Sale,RU,2022-01-24 00:24:48,66.8333,70.8333,4.33,94,60,12.3
73,Geraldton,AU,2022-01-24 00:24:49,-28.7667,114.6,77.41,69,0,21.85
74,Airai,TL,2022-01-24 00:24:49,-8.9266,125.4092,68.99,72,100,2.48
75,Bonanza,NI,2022-01-24 00:24:49,14.0289,-84.591,70.14,93,18,3.22
76,Port Elizabeth,ZA,2022-01-24 00:24:50,-33.918,25.5701,62.89,88,0,2.3
77,Kondinskoye,RU,2022-01-24 00:22:07,59.6481,67.41,-3.3,99,80,4.68
78,Rabo De Peixe,PT,2022-01-24 00:24:50,37.8,-25.5833,58.28,96,20,8.05
79,Ayan,RU,2022-01-24 00:24:50,56.45,138.1667,4.89,65,49,12.39
80,Hamilton,US,2022-01-24 00:22:08,39.1834,-84.5333,28.04,69,100,3.0
81,Esperance,AU,2022-01-24 00:24:51,-33.8667,121.9,67.84,81,80,13.6
82,Kindu,CD,2022-01-24 00:24:51,-2.95,25.95,68.79,99,100,2.35
83,Namibe,AO,2022-01-24 00:24:51,-15.1961,12.1522,74.95,86,82,5.57
84,Carinhanha,BR,2022-01-24 00:24:52,-14.3047,-43.765,74.86,74,92,3.98
85,Katsuura,JP,2022-01-24 00:24:52,35.1333,140.3,48.18,80,100,17.78
86,Homer,US,2022-01-24 00:24:52,59.6425,-151.5483,43.03,69,100,13.8
87,Butaritari,KI,2022-01-24 00:24:53,3.0707,172.7902,82.22,79,96,18.1
88,Havelock,US,2022-01-24 00:24:53,34.8791,-76.9013,43.95,77,0,1.01
89,Mubi,NG,2022-01-24 00:24:53,10.2676,13.2644,63.9,27,0,3.38
90,Bambous Virieux,MU,2022-01-24 00:24:54,-20.3428,57.7575,79.05,89,20,3.44
91,Torbay,CA,2022-01-24 00:24:54,47.6666,-52.7314,26.76,90,100,16.11
92,Baie-Comeau,CA,2022-01-24 00:24:54,49.2168,-68.1489,15.28,61,20,8.05
93,Sassandra,CI,2022-01-24 00:24:55,4.95,-6.0833,76.89,86,0,3.24
94,Buenos Aires,AR,2022-01-24 00:22:34,-34.6132,-58.3772,76.96,79,20,2.3
95,Ancud,CL,2022-01-24 00:25:55,-41.8697,-73.8203,59.43,86,88,8.59
96,Bend,US,2022-01-24 00:24:15,44.0582,-121.3153,58.86,29,0,4.61
97,Tateyama,JP,2022-01-24 00:25:55,34.9833,139.8667,48.47,64,100,18.1
98,Kahului,US,2022-01-24 00:23:05,20.8947,-156.47,82.42,69,20,19.57
99,Itoman,JP,2022-01-24 00:25:56,26.1247,127.6694,70.57,92,75,14.97
100,Bluff,NZ,2022-01-24 00:25:56,-46.6,168.3333,60.8,59,55,6.8
101,Broken Hill,AU,2022-01-24 00:25:56,-31.95,141.4333,80.31,41,75,14.97
102,Samarai,PG,2022-01-24 00:25:57,-10.6167,150.6667,85.46,70,64,11.97
103,San Quintin,MX,2022-01-24 00:25:57,30.4833,-115.95,64.94,38,2,8.9
104,Adrar,MR,2022-01-24 00:25:58,20.5022,-10.0711,65.41,17,33,10.74
105,Bol,TD,2022-01-24 00:25:58,13.4586,14.7147,68.18,31,1,16.28
106,Salinopolis,BR,2022-01-24 00:25:58,-0.6136,-47.3561,77.97,88,80,9.91
107,Eureka,US,2022-01-24 00:25:58,40.8021,-124.1637,65.35,56,0,2.66
108,Ostrovnoy,RU,2022-01-24 00:21:09,68.0531,39.5131,30.38,95,100,31.63
109,Hilo,US,2022-01-24 00:23:05,19.7297,-155.09,78.53,72,40,8.05
110,Tingi,TZ,2022-01-24 00:25:59,-11.3,35.0333,62.24,94,100,3.11
111,Caravelas,BR,2022-01-24 00:25:59,-17.7125,-39.2481,75.81,83,53,3.94
112,Pasinler,TR,2022-01-24 00:26:00,39.9803,41.6764,23.99,96,99,2.93
113,Hasaki,JP,2022-01-24 00:26:00,35.7333,140.8333,46.29,60,100,25.52
114,Nikolskoye,RU,2022-01-24 00:26:00,59.7035,30.7861,27.88,93,96,8.66
115,Pandan,PH,2022-01-24 00:26:01,14.0453,124.1694,78.64,88,68,10.54
116,Talnakh,RU,2022-01-24 00:26:01,69.4865,88.3972,-3.23,99,99,6.69
117,Vostok,RU,2022-01-24 00:26:01,46.4856,135.8833,-6.54,96,80,2.8
118,Moose Factory,CA,2022-01-24 00:26:01,51.2585,-80.6094,-14.82,76,100,5.75
119,Barrow,US,2022-01-24 00:26:02,71.2906,-156.7887,1.42,85,100,5.75
120,Castro,BR,2022-01-24 00:26:02,-24.7911,-50.0119,69.55,80,32,4.65
121,Dekar,BW,2022-01-24 00:26:03,-21.5333,21.9333,65.21,61,33,4.34
122,Lagoa,PT,2022-01-24 00:26:03,39.05,-27.9833,59.25,63,18,6.4
123,Vestmannaeyjar,IS,2022-01-24 00:26:03,63.4427,-20.2734,34.77,72,100,29.44
124,Isangel,VU,2022-01-24 00:24:23,-19.55,169.2667,86.11,84,40,4.61
125,Akureyri,IS,2022-01-24 00:26:04,65.6835,-18.0878,26.53,46,100,12.66
126,Mataura,NZ,2022-01-24 00:26:04,-46.1927,168.8643,60.48,40,36,1.21
127,Puerto Ayora,EC,2022-01-24 00:26:04,-0.7393,-90.3518,74.08,87,97,8.41
128,Yellowknife,CA,2022-01-24 00:26:04,62.456,-114.3525,-19.68,76,20,6.91
129,Sao Francisco De Paula,BR,2022-01-24 00:26:05,-29.4481,-50.5836,72.64,97,93,2.64
130,Korla,CN,2022-01-24 00:26:05,41.7597,86.1469,24.31,57,100,2.86
131,The Valley,AI,2022-01-24 00:26:05,18.217,-63.0578,77.09,72,35,4.94
