City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
177,Mlonggo,ID,76.51,broken clouds,-6.5333,110.7,Asia Metal Art
182,Pisco,PE,76.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
184,Mount Isa,AU,74.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
185,Aquiraz,BR,86.09,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
186,Santa Cruz,BO,89.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
189,Mumford,GH,83.5,scattered clouds,5.2618,-0.759,Spanish Villa
191,Castro,BR,87.04,clear sky,-24.7911,-50.0119,CHACARA BAILLY
195,Bodden Town,KY,80.98,few clouds,19.2833,-81.25,Will T Place
196,Mount Gambier,AU,70.56,overcast clouds,-37.8333,140.7667,The Commodore
201,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
202,Hobyo,SO,77.02,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
204,Quang Ngai,VN,72.37,scattered clouds,15.1167,108.8,Central Hotel
208,Wonogiri,ID,74.77,overcast clouds,-7.8144,110.9259,Hotel Diafan Wonogiri
209,Sao Filipe,CV,78.71,broken clouds,14.8961,-24.4956,Hotel Xaguate
210,Saldanha,ZA,75.25,few clouds,-33.0117,17.9442,Blue Bay Lodge
212,Birao,CF,88.21,overcast clouds,10.2849,22.7882,
213,Tessalit,ML,76.8,scattered clouds,20.1986,1.0114,
214,Bubaque,GW,78.94,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
215,Carutapera,BR,83.03,light rain,-1.195,-46.02,Lidera
219,Hithadhoo,MV,81.86,broken clouds,-0.6,73.0833,Scoop Guest House
220,Gudari,IN,73.42,overcast clouds,19.35,83.7833,Hotel maa majhigouri
222,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
223,Balsas,BR,87.12,clear sky,-7.5325,-46.0356,Novo Hotel
224,Kyabe,TD,93.06,broken clouds,9.4515,18.9449,
226,Moissala,TD,94.84,broken clouds,8.3404,17.7663,
229,Poum,NC,78.85,few clouds,-20.2333,164.0167,Gîte kajeon
