City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
59,Chokurdakh,RU,2022-01-24 15:20:49,70.6333,147.9167,-20.87,99,100,5.32,overcast clouds
60,Kruisfontein,ZA,2022-01-24 15:20:49,-34.0033,24.7314,77.88,64,4,26.96,clear sky
61,Cherskiy,RU,2022-01-24 15:20:49,68.75,161.3,-27.29,99,100,7.23,overcast clouds
62,Coquimbo,CL,2022-01-24 15:20:49,-29.9533,-71.3436,65.93,77,20,13.8,few clouds
63,Khatanga,RU,2022-01-24 15:20:50,71.9667,102.5,0.93,94,100,13.44,overcast clouds
64,Labuhan,ID,2022-01-24 15:20:50,-6.8844,112.2051,79.84,84,50,13.87,scattered clouds
65,Walvis Bay,NA,2022-01-24 15:20:51,-22.9575,14.5053,94.15,31,26,14.97,scattered clouds
66,Lagoa,PT,2022-01-24 15:20:51,39.05,-27.9833,58.32,65,99,4.54,overcast clouds
67,Yellowknife,CA,2022-01-24 15:20:51,62.456,-114.3525,-18.58,91,20,6.91,few clouds
68,Kaeo,NZ,2022-01-24 15:20:52,-35.1,173.7833,69.33,91,86,10.63,overcast clouds
69,Bossangoa,CF,2022-01-24 15:20:52,6.4926,17.4552,96.58,11,61,6.26,broken clouds
70,Ayan,RU,2022-01-24 15:20:52,56.45,138.1667,-1.79,81,1,8.46,clear sky
71,Atbasar,KZ,2022-01-24 15:20:52,51.8,68.3333,-6.23,100,17,4.81,few clouds
72,Carutapera,BR,2022-01-24 15:20:53,-1.195,-46.02,82.99,59,100,8.57,overcast clouds
73,Lafiagi,NG,2022-01-24 15:20:53,8.8667,5.4167,100.56,10,0,0.67,clear sky
74,Kankakee,US,2022-01-24 15:20:53,41.15,-87.8667,25.93,90,100,9.22,overcast clouds
75,Santa Fe,AR,2022-01-24 15:20:54,-31.6333,-60.7,77.47,92,100,4.0,light rain
76,Yumen,CN,2022-01-24 15:20:54,40.2833,97.2,21.34,41,30,6.85,scattered clouds
77,Punta Arenas,CL,2022-01-24 15:20:24,-53.15,-70.9167,55.51,58,0,21.85,clear sky
78,Luxor,EG,2022-01-24 15:20:54,25.6989,32.6421,61.34,31,58,10.13,broken clouds
79,Vila Velha,BR,2022-01-24 15:19:22,-20.3297,-40.2925,90.45,55,20,5.99,few clouds
80,Niesky,DE,2022-01-24 15:18:25,51.2924,14.8211,41.68,90,100,3.89,overcast clouds
81,Minas Novas,BR,2022-01-24 15:20:55,-17.2186,-42.5903,82.45,51,98,4.88,overcast clouds
82,Nuevo Progreso,MX,2022-01-24 15:20:55,23.1667,-97.95,67.53,79,86,4.92,overcast clouds
83,Shache,CN,2022-01-24 15:20:56,38.4167,77.2406,32.72,47,1,6.38,clear sky
84,Nova Prata,BR,2022-01-24 15:20:56,-28.7839,-51.61,95.29,30,9,2.73,clear sky
85,Butaritari,KI,2022-01-24 15:20:56,3.0707,172.7902,82.02,70,44,15.17,scattered clouds
86,Qaanaaq,GL,2022-01-24 15:20:57,77.484,-69.3632,-7.91,95,98,6.04,overcast clouds
87,Hobart,AU,2022-01-24 15:17:22,-42.8794,147.3294,63.05,86,100,6.91,overcast clouds
88,Hermanus,ZA,2022-01-24 15:29:23,-34.4187,19.2345,77.9,76,42,10.45,scattered clouds
89,Calvinia,ZA,2022-01-24 15:29:23,-31.4707,19.776,66.81,64,79,14.25,heavy intensity rain
90,Teguldet,RU,2022-01-24 15:29:24,57.3064,88.1667,4.15,97,100,4.76,overcast clouds
91,Torbay,CA,2022-01-24 15:29:24,47.6666,-52.7314,33.76,91,100,18.41,light rain
92,Juneau,US,2022-01-24 15:29:24,58.3019,-134.4197,40.84,95,75,12.66,broken clouds
